provinsi,kabupaten_kota,kecamatan,kelurahan_desa,kode_pos
bali,denpasar,denpasar selatan,sanur,80228
dki jakarta,jakarta pusat,menteng,menteng,10310
dki jakarta,jakarta selatan,kebayoran baru,senayan,12190
jawa barat,bandung,bandung wetan,citarum,40115
jawa timur,surabaya,genteng,genteng,60275
kalimantan selatan,banjarmasin,banjarmasin tengah,melayu,70234
,aceh barat,arongan lambalek,alue bagok,23652
,aceh barat,arongan lambalek,alue batee,23652
,aceh barat,arongan lambalek,alue sundak,23652
,aceh barat,arongan lambalek,arongan,23652
,aceh barat,arongan lambalek,cot buloh,23652
,aceh barat,arongan lambalek,cot jurumudi,23652
,aceh barat,arongan lambalek,cot kumbang,23652
,aceh barat,arongan lambalek,drien rampak,23652
,aceh barat,arongan lambalek,gunong pulo,23652
,aceh barat,arongan lambalek,karang hampa,23652
,aceh barat,arongan lambalek,keub,23652
,aceh barat,arongan lambalek,kubu,23652
,aceh barat,arongan lambalek,pante meutia,23652
,aceh barat,arongan lambalek,panton bahagia,23652
,aceh barat,arongan lambalek,panton makmur,23652
,aceh barat,arongan lambalek,peulanteu lb,23652
,aceh barat,arongan lambalek,peuribu,23652
,aceh barat,arongan lambalek,rimba langgeh,23652
,aceh barat,arongan lambalek,seuneubok lueng,23652
,aceh barat,arongan lambalek,seuneubok teungoh,23652
,aceh barat,arongan lambalek,simpang peut,23652
,aceh barat,arongan lambalek,suak bidok,23652
,aceh barat,arongan lambalek,suak ie beusou,23652
,aceh barat,arongan lambalek,suak keumudee,23652
,aceh barat,arongan lambalek,teupin peuraho,23652
,aceh barat,arongan lambalek,ujong beusa,23652
,aceh barat,arongan lambalek,ujong simpang,23652
,aceh barat,bubon,alue bakong,23652
,aceh barat,bubon,alue lhok,23652
,aceh barat,bubon,beurawang,23652
,aceh barat,bubon,blang sibeutong,23652
,aceh barat,bubon,cot keumuneng,23652
,aceh barat,bubon,cot lada,23652
,aceh barat,bubon,gunong panah,23652
,aceh barat,bubon,kuala pling,23652
,aceh barat,bubon,kuta padang,23652
,aceh barat,bubon,layung,23652
,aceh barat,bubon,liceh,23652
,aceh barat,bubon,peulanteu sp,23652
,aceh barat,bubon,rambong,23652
,aceh barat,bubon,seumuleng,23652
,aceh barat,bubon,seuneubok trap,23652
,aceh barat,bubon,suak pangkat,23652
,aceh barat,bubon,ulee blang,23652
,aceh barat,johan pahlawan,blang berandang,23618
,aceh barat,johan pahlawan,drien rampak,23617
,aceh barat,johan pahlawan,gampa,23611
,aceh barat,johan pahlawan,kampung belakang,23611
,aceh barat,johan pahlawan,kampung darat,23611
,aceh barat,johan pahlawan,kampung pasir,23611
,aceh barat,johan pahlawan,kuta padang,23614
,aceh barat,johan pahlawan,lapang,23618
,aceh barat,johan pahlawan,leuhan,23611
,aceh barat,johan pahlawan,padang seurahet,23611
,aceh barat,johan pahlawan,panggong,23612
,aceh barat,johan pahlawan,pasar aceh,23612
,aceh barat,johan pahlawan,rundeng,23616
,aceh barat,johan pahlawan,seuneubok,23611
,aceh barat,johan pahlawan,suak nie,23611
,aceh barat,johan pahlawan,suak raya,23611
,aceh barat,johan pahlawan,suak ribee,23611
,aceh barat,johan pahlawan,suak sigadeng,23611
,aceh barat,johan pahlawan,suwak indrapuri,23611
,aceh barat,johan pahlawan,ujong baroh,23615
,aceh barat,johan pahlawan,ujung kalak,23613
,aceh barat,kaway xvi,alue lhee,23681
,aceh barat,kaway xvi,alue lhok,23681
,aceh barat,kaway xvi,alue on,23681
,aceh barat,kaway xvi,alue peudeung,23681
,aceh barat,kaway xvi,alue tampak,23681
,aceh barat,kaway xvi,babah meulaboh,23681
,aceh barat,kaway xvi,batu jaya,23681
,aceh barat,kaway xvi,beureugang,23681
,aceh barat,kaway xvi,blang dalam,23681
,aceh barat,kaway xvi,blang geunang,23681
,aceh barat,kaway xvi,drien calee,23681
,aceh barat,kaway xvi,keude aron,23681
,aceh barat,kaway xvi,keude tanjong,23681
,aceh barat,kaway xvi,keuramat,23681
,aceh barat,kaway xvi,marek,23681
,aceh barat,kaway xvi,menuang tanjong,23681
,aceh barat,kaway xvi,mesjid,23681
,aceh barat,kaway xvi,meunasah ara,23681
,aceh barat,kaway xvi,meunasah buloh,23681
,aceh barat,kaway xvi,meunasah gantung,23681
,aceh barat,kaway xvi,meunasah rambot,23681
,aceh barat,kaway xvi,meunasah rayeuk,23681
,aceh barat,kaway xvi,muko,23681
,aceh barat,kaway xvi,padang mancang,23681
,aceh barat,kaway xvi,padang sikabu,23681
,aceh barat,kaway xvi,palimbungan,23681
,aceh barat,kaway xvi,pasi ara,23681
,aceh barat,kaway xvi,pasi jambu,23681
,aceh barat,kaway xvi,pasi jeumpa,23681
,aceh barat,kaway xvi,pasi kumbang,23681
,aceh barat,kaway xvi,pasi meugat,23681
,aceh barat,kaway xvi,pasi teungoh,23681
,aceh barat,kaway xvi,peunia,23681
,aceh barat,kaway xvi,pucok pungkie,23681
,aceh barat,kaway xvi,pungkie,23681
,aceh barat,kaway xvi,putim,23681
,aceh barat,kaway xvi,puuk,23681
,aceh barat,kaway xvi,sawang teubee,23681
,aceh barat,kaway xvi,simpang,23681
,aceh barat,kaway xvi,tanjong bunga,23681
,aceh barat,kaway xvi,tanjong meulaboh,23681
,aceh barat,kaway xvi,teuladan,23681
,aceh barat,kaway xvi,teupin panah,23681
,aceh barat,kaway xvi,tumpok ladang,23681
,aceh barat,meureubo,balee,23615
,aceh barat,meureubo,bukit jaya,23615
,aceh barat,meureubo,buloh,23615
,aceh barat,meureubo,gunong kleng,23615
,aceh barat,meureubo,langung,23615
,aceh barat,meureubo,mesjid tuha,23615
,aceh barat,meureubo,meureubo,23615
,aceh barat,meureubo,pasi aceh baroh,23615
,aceh barat,meureubo,pasi aceh tunong,23615
,aceh barat,meureubo,pasi mesjid,23615
,aceh barat,meureubo,pasi pinang,23615
,aceh barat,meureubo,paya baro rp.,23615
,aceh barat,meureubo,paya peunaga,23615
,aceh barat,meureubo,peunaga cut ujong,23615
,aceh barat,meureubo,peunaga pasi,23615
,aceh barat,meureubo,peunaga rayeuk,23615
,aceh barat,meureubo,pucok reudeup,23615
,aceh barat,meureubo,pulo teungoh ranto,23615
,aceh barat,meureubo,ranto panyang barat,23615
,aceh barat,meureubo,ranto panyang timur,23615
,aceh barat,meureubo,ranub dong,23615
,aceh barat,meureubo,reudeup,23615
