provinsi,kabupaten_kota,kecamatan,kelurahan_desa,kode_pos
DKI Jakarta,Jakarta Pusat,Tanah Abang,Sukamaju,10120
DKI Jakarta,Jakarta Pusat,Tanah Abang,Kebon Melati,10120
DKI Jakarta,Jakarta Pusat,Tanah Abang,Kebon Kacang,10120
DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Selong,12110
DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,12120
DKI Jakarta,Jakarta Barat,Grogol Petamburan,Grogol,11450
DKI Jakarta,Jakarta Utara,Penjaringan,Pluit,14450
Jawa Barat,Bogor,Cileungsi,Mampir,16820
Jawa Barat,Bogor,Cileungsi,Cileungsi,16820
Jawa Barat,Bekasi,Bekasi Utara,Kranji,17142
Jawa Barat,Bekasi,Bekasi Utara,Kayu Tinggi,17142
Jawa Barat,Bandung,Bandung Wetan,Citarum,40115
Jawa Barat,Bandung,Bandung Wetan,Citarum,40115
Jawa Tengah,Semarang,Semarang Tengah,Pindrikan Kidul,50131
Jawa Tengah,Semarang,Semarang Tengah,Pindrikan Lor,50131
Jawa Tengah,Solo,Solo,Kemlayan,57121
Jawa Tengah,Solo,Solo,Serengan,57155
Jawa Timur,Surabaya,Surabaya Pusat,Ketabang,60272
Jawa Timur,Surabaya,Surabaya Pusat,Genteng,60272
Jawa Timur,Malang,Malang,Klojen,65111
Jawa Timur,Malang,Malang,Sukun,65147
Bali,Buleleng,Buleleng,Kampung Kajanan,81113
Bali,Buleleng,Buleleng,Kampung Baru,81113
Bali,Denpasar,Denpasar Barat,Pemecutan,80118
Bali,Denpasar,Denpasar Barat,Dauh Puri,80114
Sumatera Utara,Medan,Medan Petisah,Petisah Tengah,20112
Sumatera Utara,Medan,Medan Petisah,Petisah Hulu,20112
Sumatera Utara,Medan,Medan Tuntungan,Tuntungan I,20135
Sumatera Utara,Medan,Medan Tuntungan,Tuntungan II,20136
Sumatera Barat,Padang,Padang Utara,Air Tawar Barat,25118
Sumatera Barat,Padang,Padang Utara,Air Tawar Timur,25118
Sumatera Barat,Padang,Padang Selatan,Ranah,25126
Sumatera Barat,Padang,Padang Selatan,Seberang Padang,25127 
